round,loss,accuracy,precision,recall,f1,communication_cost_mb,num_rounds
1,0.2864357247017324,0.884,0.6338,0.995,0.7743,,
2,0.18173584109172225,0.929,0.7452,0.98,0.8467,,
3,0.17518899840069935,0.935,0.7647,0.975,0.8571,,
4,0.1733193980762735,0.94,0.78,0.975,0.8667,,
5,0.17331278405617923,0.944,0.7927,0.975,0.8744,,
6,0.17398225766373798,0.945,0.7959,0.975,0.8764,,
7,0.1759434884879738,0.946,0.7992,0.975,0.8784,,
8,0.17819634787156247,0.945,0.7984,0.97,0.8758,,
9,0.18057097058044747,0.949,0.8117,0.97,0.8838,,
10,0.18357827805448323,0.949,0.8143,0.965,0.8833,,
11,0.18478201411198825,0.948,0.8109,0.965,0.8813,,
12,0.18717320819268934,0.947,0.8101,0.96,0.8787,,
13,0.19165533207706176,0.948,0.8136,0.96,0.8807,,
14,0.19968727203377057,0.949,0.8197,0.955,0.8822,,
15,0.2022831687500002,0.95,0.8233,0.955,0.8843,,
16,0.20749953463382553,0.947,0.8182,0.945,0.877,,
17,0.21405607560882345,0.948,0.8217,0.945,0.8791,,
18,0.22150711473659612,0.948,0.8217,0.945,0.8791,,
19,0.22207090047595557,0.948,0.8217,0.945,0.8791,,
20,0.22974915379018057,0.947,0.8182,0.945,0.877,,
21,0.2314882727805525,0.948,0.8217,0.945,0.8791,,
22,0.23404847948404495,0.947,0.8182,0.945,0.877,,
23,0.24521543891751207,0.947,0.8182,0.945,0.877,,
24,0.24368288472032873,0.946,0.8147,0.945,0.875,,
25,0.2545878286182415,0.947,0.8182,0.945,0.877,,
26,0.25749889662256464,0.948,0.8217,0.945,0.8791,,
27,0.2668281653022859,0.949,0.8253,0.945,0.8811,,
28,0.27456828484719153,0.949,0.8253,0.945,0.8811,,
29,0.28313228931074264,0.947,0.8182,0.945,0.877,,
30,0.28816013043251587,0.947,0.8182,0.945,0.877,4.1484,30.0
